DATE,VALUE
2023-05-23T01:09:42.129098,27
2023-05-23T01:09:47.218718,28
2023-05-23T01:09:52.330923,27
2023-05-23T01:09:57.493720,26
2023-05-23T01:10:07.714791,25
2023-05-23T01:10:27.676064,24
2023-05-23T01:11:13.268714,23
2023-05-23T04:58:33.993145,27
2023-05-23T04:58:38.983273,30
2023-05-23T04:58:43.586583,29
2023-05-23T04:58:48.738924,27
2023-05-23T04:59:04.075791,28
2023-05-23T04:59:10.725962,31
2023-05-23T04:59:14.345412,30
2023-05-23T04:59:19.452593,28
2023-05-23T04:59:24.591623,27
2023-05-23T04:59:29.169434,26
2023-05-23T04:59:39.427509,25
2023-05-23T04:59:49.409751,24
2023-05-23T04:59:59.878168,23
2023-05-23T05:00:24.987707,22
2023-05-23T05:00:45.493810,25
2023-05-23T05:00:50.070419,24
2023-05-23T05:00:55.184638,23
2023-05-23T05:01:11.418603,22
2023-05-23T05:01:40.754924,21
2023-05-23T05:02:01.238225,29
2023-05-23T05:02:05.883575,31
2023-05-23T05:02:11.034486,32
2023-05-23T05:02:36.579631,30
2023-05-23T05:02:41.790280,29
2023-05-23T05:02:46.826345,28
2023-05-23T05:02:51.409205,27
2023-05-23T05:02:56.523541,26
2023-05-23T05:03:06.781173,25
2023-05-23T05:03:17.015563,24
2023-05-23T05:03:31.888824,23
2023-05-23T05:03:52.350837,22
2023-05-23T05:04:32.803828,21
2023-05-23T05:06:54.123698,20
